round,client_id,participated,num_samples,update_norm_l2,update_norm_l1,update_norm_linf
1,0,1,298,1.0052164793014526,820.2523803710938,0.2366734743118286
1,1,1,1077,1.4674197435379028,1351.79931640625,0.28991663455963135
1,10,1,4596,1.7601059675216675,1818.664794921875,0.5222945213317871
1,12,1,3437,1.5742771625518799,1180.3897705078125,0.2906048893928528
1,13,1,4750,2.404362678527832,2543.74951171875,0.5140847563743591
1,15,1,4923,2.1357948780059814,2188.723876953125,0.5102217197418213
1,2,1,4862,1.6919435262680054,1712.439453125,0.3861755132675171
1,4,1,3713,2.196826457977295,2034.59814453125,0.5269775986671448
1,5,1,3867,1.4341936111450195,1473.3052978515625,0.2614615857601166
1,6,1,1600,1.8742663860321045,1767.382568359375,0.5716487169265747
1,7,1,3271,2.0068416595458984,1687.3226318359375,0.45610082149505615
1,8,1,3825,2.115150213241577,2146.517578125,0.4860190153121948
2,10,1,4596,1.393662929534912,1477.91943359375,0.33920374512672424
2,11,1,1270,1.0347673892974854,902.8722534179688,0.1400080919265747
2,12,1,3437,1.74993896484375,1684.1944580078125,0.345021516084671
2,14,1,248,0.8788834810256958,661.5035400390625,0.12027521431446075
2,15,1,4923,2.586681842803955,3421.3369140625,0.36786022782325745
2,2,1,4862,1.8904753923416138,2169.3359375,0.28061679005622864
2,3,1,1743,2.096489667892456,2119.327880859375,0.36666014790534973
2,4,1,3713,2.028768539428711,2072.174560546875,0.38136735558509827
2,5,1,3867,1.4362034797668457,1575.383056640625,0.201479971408844
2,6,1,1600,1.9217585325241089,2071.816162109375,0.3223501443862915
2,8,1,3825,2.021991729736328,2391.750732421875,0.20708774030208588
2,9,1,6520,3.107910633087158,4081.0244140625,0.40389907360076904
3,0,1,298,0.9378910660743713,768.6610717773438,0.12331698834896088
3,1,1,1077,1.6097131967544556,1622.786865234375,0.4007272720336914
3,12,1,3437,1.8476581573486328,2144.49658203125,0.19556742906570435
3,13,1,4750,2.3919291496276855,2810.925537109375,0.5777453780174255
3,14,1,248,0.9647125601768494,761.0722045898438,0.08387889713048935
3,15,1,4923,2.6436002254486084,3820.373046875,0.2919127941131592
3,3,1,1743,1.7892704010009766,1888.8258056640625,0.28886157274246216
3,5,1,3867,1.3563553094863892,1650.276123046875,0.1974075585603714
3,6,1,1600,1.740230917930603,1810.846435546875,0.28682035207748413
3,7,1,3271,1.7721264362335205,1648.2890625,0.18110674619674683
3,8,1,3825,1.9470396041870117,2457.303466796875,0.17171822488307953
3,9,1,6520,2.3953399658203125,3282.79833984375,0.1848946213722229
4,1,1,1077,1.3729159832000732,1503.804931640625,0.22201648354530334
4,10,1,4596,1.8866252899169922,2265.3330078125,0.37299057841300964
4,11,1,1270,1.3000630140304565,1402.0802001953125,0.15495014190673828
4,12,1,3437,1.7693960666656494,2087.242919921875,0.1672980785369873
4,14,1,248,0.9149124622344971,831.956787109375,0.07288440316915512
4,15,1,4923,2.6048471927642822,3941.54150390625,0.2059071660041809
4,4,1,3713,2.158813953399658,2716.36328125,0.23759675025939941
4,5,1,3867,1.2596172094345093,1439.8350830078125,0.15562793612480164
4,6,1,1600,1.7430371046066284,1967.8486328125,0.21002459526062012
4,7,1,3271,1.7221699953079224,1724.6947021484375,0.17352399230003357
4,8,1,3825,1.5341311693191528,1909.99169921875,0.1285618245601654
4,9,1,6520,2.2343060970306396,3149.261474609375,0.21749675273895264
5,0,1,298,1.2315324544906616,1019.7897338867188,0.279825359582901
5,1,1,1077,1.394579529762268,1442.345703125,0.2871001958847046
5,10,1,4596,1.7416527271270752,2285.22900390625,0.26931390166282654
5,11,1,1270,1.2687987089157104,1688.435302734375,0.10722514986991882
5,12,1,3437,2.1045329570770264,2893.529052734375,0.13417300581932068
5,13,1,4750,2.4541659355163574,3163.197021484375,0.42655521631240845
5,14,1,248,0.9129458665847778,926.6934204101562,0.08326452970504761
5,15,1,4923,1.8398531675338745,2722.62158203125,0.11238983273506165
5,4,1,3713,2.002023458480835,2693.7099609375,0.16548441350460052
5,5,1,3867,1.2715392112731934,1508.609375,0.14852073788642883
5,6,1,1600,1.802678108215332,2207.662353515625,0.1977272629737854
5,7,1,3271,1.4662575721740723,1594.1392822265625,0.1480151265859604
6,0,1,298,1.1622121334075928,1016.10009765625,0.2971274256706238
6,10,1,4596,1.6528973579406738,2291.510498046875,0.19646143913269043
6,11,1,1270,1.5219045877456665,2165.8818359375,0.13173624873161316
6,12,1,3437,2.0325145721435547,2895.839599609375,0.1270645260810852
6,13,1,4750,2.176929235458374,2926.64013671875,0.2891354262828827
6,2,1,4862,2.160757541656494,2645.994384765625,0.4828336238861084
6,3,1,1743,2.034976005554199,2390.03125,0.2721300721168518
6,4,1,3713,2.202749490737915,3241.5498046875,0.15203699469566345
6,5,1,3867,1.287007212638855,1545.8280029296875,0.15150459110736847
6,6,1,1600,1.5743358135223389,1920.3140869140625,0.1333599090576172
6,7,1,3271,1.4460211992263794,1595.578369140625,0.18618008494377136
6,8,1,3825,1.8179850578308105,2484.923828125,0.16150590777397156
7,0,1,298,1.069968581199646,1054.535400390625,0.14345607161521912
7,1,1,1077,1.5075569152832031,1768.2064208984375,0.19722436368465424
7,10,1,4596,1.7525665760040283,2638.13720703125,0.1618814319372177
7,11,1,1270,1.5255061388015747,2269.38818359375,0.1565006971359253
7,13,1,4750,1.6537286043167114,2139.03173828125,0.21617014706134796
7,14,1,248,0.9358353018760681,976.8220825195312,0.10168404877185822
7,15,1,4923,1.8338359594345093,2676.563232421875,0.10184105485677719
7,2,1,4862,1.775141954421997,2275.852294921875,0.2661067843437195
7,4,1,3713,2.529141426086426,3309.60546875,0.13416805863380432
7,6,1,1600,1.537194013595581,1991.5494384765625,0.12227903306484222
7,8,1,3825,1.794842004776001,2527.638916015625,0.16041651368141174
7,9,1,6520,2.8447422981262207,4252.5869140625,0.19396454095840454
8,0,1,298,1.0292317867279053,1201.701171875,0.09456939250230789
8,10,1,4596,1.8038177490234375,2740.529296875,0.15932437777519226
8,11,1,1270,1.6012531518936157,2334.33935546875,0.12795495986938477
8,13,1,4750,2.0747365951538086,2862.518798828125,0.2167600840330124
8,15,1,4923,1.7281687259674072,2524.58544921875,0.07771933078765869
8,2,1,4862,1.739227294921875,2313.836181640625,0.20040108263492584
8,3,1,1743,1.9327971935272217,2517.6923828125,0.1756906807422638
8,5,1,3867,1.2380199432373047,1500.828369140625,0.1435641646385193
8,6,1,1600,1.822914481163025,2589.84228515625,0.13631150126457214
8,7,1,3271,1.7612621784210205,2199.865966796875,0.1986086517572403
8,8,1,3825,1.7547314167022705,2537.18603515625,0.13149599730968475
8,9,1,6520,3.250282049179077,5023.8291015625,0.19020697474479675
9,0,1,298,0.9506572484970093,1004.7093505859375,0.10419149696826935
9,1,1,1077,1.2971916198730469,1569.4520263671875,0.14014552533626556
9,10,1,4596,1.7844833135604858,2771.404052734375,0.15019303560256958
9,11,1,1270,1.1803196668624878,1649.26318359375,0.11236883699893951
9,13,1,4750,1.569299340248108,2097.66015625,0.157562717795372
9,14,1,248,0.7111948132514954,774.4822998046875,0.06880344450473785
9,15,1,4923,2.109954833984375,3048.16943359375,0.1022116094827652
9,5,1,3867,1.3112958669662476,1699.1571044921875,0.12911756336688995
9,6,1,1600,1.7866404056549072,2592.11083984375,0.12895327806472778
9,7,1,3271,1.7988147735595703,2254.09716796875,0.15651708841323853
9,8,1,3825,2.0343871116638184,3035.641845703125,0.13513442873954773
9,9,1,6520,3.164350986480713,4882.9375,0.1265745609998703
10,0,1,298,1.0137572288513184,1046.9791259765625,0.14662685990333557
10,1,1,1077,1.302992820739746,1583.684814453125,0.11944161355495453
10,11,1,1270,1.6408863067626953,2382.871337890625,0.16451090574264526
10,12,1,3437,1.691043734550476,2197.849365234375,0.12847554683685303
10,13,1,4750,1.5663354396820068,2099.99853515625,0.1507616639137268
10,14,1,248,0.8093888163566589,899.3099365234375,0.07206989824771881
10,3,1,1743,1.6434721946716309,2031.8341064453125,0.14320415258407593
10,4,1,3713,2.2518296241760254,3047.432861328125,0.14051833748817444
10,5,1,3867,1.3452788591384888,1794.4122314453125,0.12115741521120071
10,6,1,1600,1.839767336845398,2711.9638671875,0.10647892951965332
10,8,1,3825,2.064701795578003,3122.11669921875,0.1335369348526001
10,9,1,6520,3.146928071975708,4904.908203125,0.12378324568271637
11,0,1,298,1.2674479484558105,1323.833984375,0.20775547623634338
11,1,1,1077,1.1834355592727661,1399.9886474609375,0.14588563144207
11,12,1,3437,1.567582368850708,2131.373046875,0.11662442982196808
11,13,1,4750,1.8198128938674927,2518.994140625,0.16457371413707733
11,14,1,248,0.854350209236145,1039.5885009765625,0.07534614205360413
11,15,1,4923,2.1973350048065186,3067.247802734375,0.08780660480260849
11,2,1,4862,1.8498969078063965,2185.059814453125,0.29640746116638184
11,3,1,1743,1.9448633193969727,2560.200927734375,0.18799558281898499
11,4,1,3713,2.2574663162231445,3119.8291015625,0.12211784720420837
11,5,1,3867,1.3165723085403442,1769.73193359375,0.09115435928106308
11,8,1,3825,2.1793763637542725,3160.721435546875,0.14554482698440552
11,9,1,6520,2.1337389945983887,3322.517333984375,0.08404091745615005
12,0,1,298,1.0317027568817139,1041.9493408203125,0.12738502025604248
12,10,1,4596,1.479737639427185,2062.499267578125,0.13337232172489166
12,11,1,1270,1.2549448013305664,1735.6800537109375,0.08295189589262009
12,14,1,248,0.779374897480011,903.4964599609375,0.07074680179357529
12,15,1,4923,1.8314002752304077,2512.903564453125,0.08881009370088577
12,2,1,4862,1.95582914352417,2481.861083984375,0.20538830757141113
12,3,1,1743,1.942992925643921,2644.75,0.1298018842935562
12,4,1,3713,3.09291672706604,4464.62841796875,0.21509717404842377
12,5,1,3867,1.4726142883300781,2052.2783203125,0.09628180414438248
12,6,1,1600,2.2659363746643066,3340.667724609375,0.14285016059875488
12,7,1,3271,2.2342944145202637,2853.164794921875,0.19736987352371216
12,8,1,3825,1.6029491424560547,2271.703369140625,0.10064344853162766
13,0,1,298,0.8802772760391235,1017.45361328125,0.07092393189668655
13,1,1,1077,1.4558368921279907,1765.6854248046875,0.16395223140716553
13,12,1,3437,2.3789844512939453,3251.22412109375,0.13162197172641754
13,13,1,4750,2.0093994140625,2776.98291015625,0.14580295979976654
13,14,1,248,0.7056983709335327,846.1009521484375,0.05737955495715141
13,3,1,1743,1.9808095693588257,2637.4970703125,0.11757243424654007
13,4,1,3713,2.613215208053589,3588.65380859375,0.12580035626888275
13,5,1,3867,1.5406665802001953,2136.2958984375,0.11579430848360062
13,6,1,1600,2.2128000259399414,3306.1923828125,0.09891606122255325
13,7,1,3271,1.5887123346328735,1980.4202880859375,0.13570144772529602
13,8,1,3825,2.1427865028381348,3246.09375,0.11427052319049835
13,9,1,6520,2.2821414470672607,3467.905029296875,0.11190266907215118
14,0,1,298,1.2094159126281738,1325.3345947265625,0.12730640172958374
14,11,1,1270,1.8037567138671875,2653.511962890625,0.10851111263036728
14,12,1,3437,1.9238970279693604,2660.947509765625,0.10369043052196503
14,13,1,4750,1.6606577634811401,2223.037353515625,0.1390223503112793
14,14,1,248,0.6407178640365601,796.0369262695312,0.03777649998664856
14,15,1,4923,2.6080474853515625,3574.257568359375,0.10077192634344101
14,2,1,4862,2.0202486515045166,2636.8330078125,0.1754484325647354
14,3,1,1743,2.340259552001953,3309.1103515625,0.12336616218090057
14,4,1,3713,2.5276575088500977,3531.614990234375,0.1238841563463211
14,5,1,3867,1.5105229616165161,2112.185546875,0.09136969596147537
14,6,1,1600,1.7483112812042236,2456.023193359375,0.08182547986507416
14,9,1,6520,2.2305829524993896,3416.611328125,0.09506955742835999
15,0,1,298,1.148637056350708,1282.8787841796875,0.08561630547046661
15,10,1,4596,2.1724252700805664,3278.2138671875,0.1595546305179596
15,11,1,1270,1.6148440837860107,2344.612548828125,0.10458061844110489
15,12,1,3437,1.6191414594650269,2214.290283203125,0.07708621025085449
15,13,1,4750,1.6620774269104004,2255.629638671875,0.13502833247184753
15,14,1,248,0.8915923833847046,1093.9158935546875,0.06809040904045105
15,15,1,4923,1.8480867147445679,2488.583251953125,0.07975338399410248
15,3,1,1743,2.3795430660247803,3362.630859375,0.10516435652971268
15,4,1,3713,3.070810556411743,4473.31591796875,0.2651715874671936
15,5,1,3867,1.213714361190796,1621.1708984375,0.07408371567726135
15,7,1,3271,1.7933460474014282,2249.40771484375,0.15852931141853333
15,8,1,3825,1.7113087177276611,2445.87109375,0.0926232859492302
16,0,1,298,1.1577378511428833,1307.594482421875,0.10529139637947083
16,10,1,4596,1.817439317703247,2696.24169921875,0.12014307826757431
16,11,1,1270,1.2624565362930298,1845.880859375,0.07273201644420624
16,14,1,248,0.6942422389984131,874.9976806640625,0.05378204584121704
16,15,1,4923,1.7310869693756104,2386.827392578125,0.06183474510908127
16,2,1,4862,2.26001238822937,3047.629150390625,0.17205184698104858
16,3,1,1743,2.4793965816497803,3454.4326171875,0.13537093997001648
16,4,1,3713,1.8032788038253784,2506.681884765625,0.08300477266311646
16,5,1,3867,1.576117753982544,2227.1513671875,0.09103668481111526
16,6,1,1600,1.784726858139038,2504.07080078125,0.08806128799915314
16,7,1,3271,1.6837270259857178,2129.307373046875,0.13459540903568268
16,9,1,6520,3.1983325481414795,4988.89501953125,0.11998046934604645
17,0,1,298,1.2254219055175781,1448.30224609375,0.06868593394756317
17,10,1,4596,1.533057451248169,2293.302001953125,0.08820655941963196
17,11,1,1270,1.236038088798523,1827.8741455078125,0.08013015985488892
17,12,1,3437,2.3623874187469482,3244.103515625,0.09479783475399017
17,13,1,4750,1.773382544517517,2423.3662109375,0.12857133150100708
17,14,1,248,0.7375158071517944,897.2389526367188,0.06321912258863449
17,15,1,4923,1.7784675359725952,2411.61767578125,0.06898185610771179
17,2,1,4862,2.1992874145507812,3058.760986328125,0.13996237516403198
17,4,1,3713,2.865102767944336,4085.358642578125,0.16006115078926086
17,6,1,1600,1.7765592336654663,2531.912109375,0.08322455734014511
17,8,1,3825,2.325094699859619,3469.189208984375,0.11873237043619156
17,9,1,6520,2.7569804191589355,4290.23486328125,0.08551022410392761
18,0,1,298,1.293470025062561,1601.4896240234375,0.06202935799956322
18,1,1,1077,1.7299622297286987,2257.784912109375,0.15133173763751984
18,10,1,4596,1.562531590461731,2299.04931640625,0.09927699714899063
18,11,1,1270,1.8602967262268066,2800.237060546875,0.11299771070480347
18,13,1,4750,1.772464632987976,2433.40283203125,0.13497419655323029
18,14,1,248,0.6409007906913757,815.0982055664062,0.02909161150455475
18,15,1,4923,1.7529354095458984,2385.804443359375,0.06272835284471512
18,2,1,4862,1.7042043209075928,2205.81494140625,0.13352391123771667
18,6,1,1600,2.135709524154663,3170.537109375,0.08606554567813873
18,7,1,3271,2.3481013774871826,3099.7373046875,0.16233395040035248
18,8,1,3825,2.030916690826416,2984.160400390625,0.08133956789970398
18,9,1,6520,2.356152057647705,3618.39892578125,0.08040744066238403
19,1,1,1077,1.320210576057434,1643.1097412109375,0.11520464718341827
19,10,1,4596,2.140828847885132,3270.3603515625,0.11614084243774414
19,12,1,3437,1.7957247495651245,2374.8603515625,0.09114493429660797
19,13,1,4750,1.6862980127334595,2349.232177734375,0.10139748454093933
19,14,1,248,0.667034924030304,864.9714965820312,0.03568675369024277
19,15,1,4923,1.7600324153900146,2404.370361328125,0.05359617620706558
19,2,1,4862,2.3002450466156006,3245.4697265625,0.12900950014591217
19,3,1,1743,1.8398219347000122,2433.677490234375,0.11496870219707489
19,4,1,3713,2.876251220703125,3865.86474609375,0.1668308675289154
19,6,1,1600,2.454988956451416,3793.4013671875,0.08603697270154953
19,7,1,3271,2.075598955154419,2723.203125,0.13708722591400146
19,9,1,6520,2.3326022624969482,3574.89990234375,0.07997246086597443
20,0,1,298,1.003947377204895,1240.5169677734375,0.06684824824333191
20,1,1,1077,1.7229646444320679,2300.82275390625,0.1298041045665741
20,11,1,1270,1.362717866897583,2010.6348876953125,0.07283276319503784
20,12,1,3437,1.7903398275375366,2426.98876953125,0.09101629257202148
20,14,1,248,0.6898033022880554,889.1693115234375,0.039854101836681366
20,15,1,4923,2.3973231315612793,3291.880126953125,0.06940028816461563
20,2,1,4862,1.7098883390426636,2287.646240234375,0.11509498953819275
20,3,1,1743,1.8531544208526611,2523.886474609375,0.10636824369430542
20,4,1,3713,2.8274450302124023,3828.734619140625,0.17612257599830627
20,5,1,3867,1.6781113147735596,2363.792724609375,0.09530223906040192
20,6,1,1600,2.2039999961853027,3348.9150390625,0.08320271223783493
20,9,1,6520,3.246931791305542,5154.5390625,0.07718983292579651
21,1,1,1077,1.3583885431289673,1681.249755859375,0.1306684911251068
21,10,1,4596,1.70016610622406,2465.3095703125,0.0960150808095932
21,12,1,3437,1.6887775659561157,2315.066650390625,0.0791299045085907
21,14,1,248,0.9693729877471924,1268.8955078125,0.07833445817232132
21,15,1,4923,2.451132297515869,3341.79638671875,0.09035374224185944
21,3,1,1743,2.170506000518799,3048.43603515625,0.09099306166172028
21,4,1,3713,2.6972525119781494,3796.71826171875,0.11922354251146317
21,5,1,3867,1.5086601972579956,2121.60693359375,0.0828213170170784
21,6,1,1600,1.8934465646743774,2738.521240234375,0.07740548253059387
21,7,1,3271,1.832464575767517,2347.79345703125,0.15415605902671814
21,8,1,3825,2.484438419342041,3682.426025390625,0.096261166036129
21,9,1,6520,2.30157732963562,3575.08544921875,0.05436041206121445
22,0,1,298,1.030880093574524,1240.7467041015625,0.0631643608212471
22,1,1,1077,1.3906091451644897,1747.750732421875,0.13436228036880493
22,11,1,1270,1.356586217880249,1999.7872314453125,0.05852954834699631
22,12,1,3437,1.6906272172927856,2338.842041015625,0.07627768814563751
22,13,1,4750,2.394577741622925,3421.909423828125,0.16035139560699463
22,15,1,4923,2.0937492847442627,2841.31640625,0.06249591335654259
22,2,1,4862,2.1671743392944336,2973.076416015625,0.13434329628944397
22,3,1,1743,2.559124231338501,3611.89453125,0.11989815533161163
22,4,1,3713,3.1447277069091797,3966.224853515625,0.10079486668109894
22,6,1,1600,1.9374103546142578,2837.4873046875,0.07525858283042908
22,8,1,3825,1.7814172506332397,2619.72802734375,0.07901967316865921
22,9,1,6520,2.3688647747039795,3660.84716796875,0.0743531584739685
23,0,1,298,1.0390163660049438,1337.89013671875,0.04334627091884613
23,1,1,1077,1.6063464879989624,2164.03857421875,0.12363682687282562
23,11,1,1270,1.4322980642318726,2128.114501953125,0.06470682471990585
23,12,1,3437,2.3798248767852783,3277.218994140625,0.09991365671157837
23,13,1,4750,2.3985421657562256,3432.756103515625,0.12015889585018158
23,14,1,248,0.8651033639907837,1139.322509765625,0.06308618187904358
23,15,1,4923,2.1013944149017334,2846.6240234375,0.06523188948631287
23,2,1,4862,2.4042229652404785,3382.59716796875,0.11412067711353302
23,4,1,3713,2.0617706775665283,2862.93798828125,0.07313323020935059
23,5,1,3867,1.4164670705795288,1870.95849609375,0.09310109168291092
23,8,1,3825,1.7880480289459229,2638.07177734375,0.07778918743133545
23,9,1,6520,2.402920722961426,3676.9189453125,0.07188498228788376
24,0,1,298,1.1692900657653809,1498.376708984375,0.048367977142333984
24,1,1,1077,1.7835193872451782,2469.24560546875,0.11765517294406891
24,10,1,4596,1.732753872871399,2544.872802734375,0.08346282690763474
24,11,1,1270,2.0881330966949463,3164.860107421875,0.0899905264377594
24,15,1,4923,1.8259201049804688,2474.382568359375,0.06043991446495056
24,2,1,4862,2.178022861480713,3026.4453125,0.09849439561367035
24,3,1,1743,1.9188833236694336,2664.39697265625,0.08609990775585175
24,5,1,3867,1.7636785507202148,2537.3896484375,0.08069165050983429
24,6,1,1600,1.9644825458526611,2902.825927734375,0.07554219663143158
24,7,1,3271,1.9533767700195312,2504.968505859375,0.1364983469247818
24,8,1,3825,1.8780683279037476,2728.70166015625,0.08148153126239777
24,9,1,6520,2.4149868488311768,3719.915283203125,0.07480160892009735
25,0,1,298,1.303970217704773,1692.5830078125,0.06276872754096985
25,1,1,1077,1.5835977792739868,2121.48583984375,0.11302249878644943
25,10,1,4596,2.2600224018096924,3470.572998046875,0.10388863831758499
25,12,1,3437,2.168900966644287,2951.99267578125,0.09389057010412216
25,13,1,4750,2.1189401149749756,3013.286376953125,0.11146771162748337
25,14,1,248,0.7315071225166321,946.5870971679688,0.039071112871170044
25,2,1,4862,1.7198336124420166,2369.570068359375,0.0866253674030304
25,3,1,1743,1.897801399230957,2589.78955078125,0.09034678339958191
25,4,1,3713,3.2232513427734375,4402.7236328125,0.10478684306144714
25,6,1,1600,1.8816184997558594,2820.934326171875,0.0762619748711586
25,8,1,3825,1.807665228843689,2689.3125,0.07652086764574051
25,9,1,6520,2.4006693363189697,3701.659423828125,0.06298084557056427
26,0,1,298,1.2041853666305542,1573.0355224609375,0.059306807816028595
