round,client_id,participated,num_samples,update_norm_l2,update_norm_l1,update_norm_linf
1,0,1,10,69.4628677368164,172229.53125,0.2305673211812973
1,1,1,34,69.44928741455078,172191.15625,0.2889118790626526
1,10,1,144,69.3426284790039,171921.609375,0.5503462553024292
1,11,1,40,69.4488525390625,172192.75,0.23502297699451447
1,13,1,149,69.36761474609375,171965.578125,0.5158146023750305
1,14,1,8,69.46528625488281,172236.859375,0.23065175116062164
1,15,1,154,69.34760284423828,171917.421875,0.48016929626464844
1,2,1,152,69.33386993408203,171900.109375,0.3485681414604187
1,4,1,117,69.34991455078125,171913.125,0.7869842648506165
1,5,1,121,69.3609619140625,171971.484375,0.26530417799949646
1,6,1,50,69.42945861816406,172134.34375,0.46795761585235596
1,8,1,120,69.38671875,172017.078125,0.39022111892700195
2,0,1,10,69.37600708007812,172015.03125,0.23366035521030426
2,10,1,144,69.29905700683594,171818.328125,0.34078919887542725
2,11,1,40,69.36048889160156,171974.609375,0.23481124639511108
2,12,1,108,69.2967529296875,171796.84375,0.3596668243408203
2,13,1,149,69.28779602050781,171760.78125,0.4598767161369324
2,15,1,154,69.23546600341797,171623.0,0.439317911863327
2,3,1,55,69.33856964111328,171901.171875,0.3902430236339569
2,4,1,117,69.29842376708984,171794.71875,0.35569101572036743
2,6,1,50,69.34808349609375,171926.984375,0.38181471824645996
2,7,1,103,69.30228424072266,171817.359375,0.24337580800056458
2,8,1,120,69.30223083496094,171804.71875,0.30909091234207153
2,9,1,204,69.26690673828125,171696.3125,0.36023861169815063
3,0,1,10,69.2878646850586,171791.640625,0.2397935837507248
3,10,1,144,69.21939849853516,171612.375,0.30320119857788086
3,11,1,40,69.27017211914062,171739.9375,0.24131684005260468
3,12,1,108,69.2172622680664,171587.8125,0.23776061832904816
3,13,1,149,69.2019271850586,171538.640625,0.42838409543037415
3,2,1,152,69.11885070800781,171353.65625,0.24208083748817444
3,3,1,55,69.26077270507812,171705.984375,0.3137078881263733
3,4,1,117,69.18633270263672,171499.859375,0.2815077006816864
3,5,1,121,69.15025329589844,171439.171875,0.2700757682323456
3,6,1,50,69.26559448242188,171724.71875,0.28501030802726746
3,7,1,103,69.2114486694336,171587.765625,0.24411606788635254
3,8,1,120,69.2165756225586,171588.265625,0.25428831577301025
4,0,1,10,69.19709777832031,171561.09375,0.2427695244550705
4,12,1,108,69.1298599243164,171365.3125,0.24585340917110443
4,13,1,149,69.07455444335938,171206.640625,0.39624518156051636
4,14,1,8,69.20242309570312,171573.765625,0.24937941133975983
4,2,1,152,69.07473754882812,171243.8125,0.249710813164711
4,3,1,55,69.16549682617188,171454.828125,0.30342578887939453
4,4,1,117,69.10087585449219,171278.109375,0.2984185516834259
4,5,1,121,69.09934997558594,171310.171875,0.2505188584327698
4,6,1,50,69.18370819091797,171514.125,0.2501194477081299
4,7,1,103,69.1310806274414,171378.78125,0.24432198703289032
4,8,1,120,69.15637969970703,171442.78125,0.24663342535495758
4,9,1,204,69.13162231445312,171361.59375,0.23863501846790314
5,0,1,10,69.1094970703125,171335.234375,0.24769054353237152
5,10,1,144,69.00968933105469,171067.625,0.28688499331474304
5,11,1,40,69.10189056396484,171306.328125,0.24923844635486603
5,12,1,108,69.01997375488281,171072.546875,0.25930118560791016
5,13,1,149,68.98688507080078,170979.546875,0.3889428675174713
5,14,1,8,69.11615753173828,171351.15625,0.24756363034248352
5,15,1,154,69.050537109375,171163.78125,0.33389943838119507
5,2,1,152,68.9461669921875,170909.78125,0.24776308238506317
5,3,1,55,69.078857421875,171231.6875,0.27601149678230286
5,4,1,117,69.04794311523438,171144.296875,0.31229376792907715
5,7,1,103,69.07402801513672,171232.765625,0.24558359384536743
5,8,1,120,69.06622314453125,171209.453125,0.2535916864871979
6,0,1,10,69.02906799316406,171128.515625,0.2445579171180725
6,1,1,34,69.00758361816406,171063.1875,0.252339631319046
6,10,1,144,68.92692565917969,170852.5,0.24841709434986115
6,11,1,40,69.01093292236328,171063.5625,0.2507496476173401
6,13,1,149,68.89996337890625,170756.640625,0.3591289520263672
6,15,1,154,68.907958984375,170773.84375,0.301181823015213
6,2,1,152,68.86587524414062,170699.421875,0.25031575560569763
6,4,1,117,68.96885681152344,170935.90625,0.2637958526611328
6,6,1,50,69.02562713623047,171107.4375,0.2538836896419525
6,7,1,103,68.98887634277344,171011.921875,0.24987199902534485
6,8,1,120,68.95833587646484,170923.734375,0.2609311640262604
6,9,1,204,68.92890930175781,170813.09375,0.3058120012283325
7,0,1,10,68.9405746459961,170893.953125,0.24935205280780792
7,10,1,144,68.80155944824219,170520.40625,0.24755673110485077
7,11,1,40,68.92383575439453,170835.453125,0.2682696580886841
7,13,1,149,68.88965606689453,170739.046875,0.29766976833343506
7,15,1,154,68.89070892333984,170741.359375,0.2564997673034668
7,2,1,152,68.82150268554688,170582.015625,0.2542785108089447
7,3,1,55,68.92503356933594,170831.046875,0.2803100049495697
7,5,1,121,68.8797378540039,170736.015625,0.25947967171669006
7,6,1,50,68.94152069091797,170884.234375,0.2701480984687805
7,7,1,103,68.87654113769531,170712.203125,0.2574580907821655
7,8,1,120,68.87151336669922,170692.234375,0.2596123516559601
7,9,1,204,68.84402465820312,170587.046875,0.319937139749527
8,0,1,10,68.86095428466797,170684.296875,0.255728155374527
8,1,1,34,68.84906768798828,170646.28125,0.2734651565551758
8,10,1,144,68.72644805908203,170320.28125,0.2534385025501251
8,11,1,40,68.84808349609375,170633.90625,0.2837337851524353
8,13,1,149,68.73023986816406,170313.6875,0.31125321984291077
8,14,1,8,68.86695098876953,170701.125,0.25419458746910095
8,15,1,154,68.81515502929688,170539.859375,0.25201839208602905
8,5,1,121,68.80476379394531,170536.203125,0.2690127491950989
8,6,1,50,68.8614730834961,170662.140625,0.29110297560691833
8,7,1,103,68.79532623291016,170500.546875,0.2527581453323364
8,8,1,120,68.7886734008789,170476.84375,0.27443927526474
8,9,1,204,68.73450469970703,170274.890625,0.37046587467193604
9,0,1,10,68.78720092773438,170490.640625,0.26741141080856323
9,1,1,34,68.77808380126953,170455.921875,0.28287965059280396
9,11,1,40,68.78309631347656,170470.78125,0.2790087163448334
9,12,1,108,68.70671081542969,170243.890625,0.28779053688049316
9,13,1,149,68.73347473144531,170327.78125,0.2982351779937744
9,14,1,8,68.79487609863281,170508.21875,0.25529173016548157
9,3,1,55,68.7823715209961,170458.578125,0.29864728450775146
9,4,1,117,68.75802612304688,170384.53125,0.2730399966239929
9,5,1,121,68.6943359375,170246.390625,0.2813911437988281
9,6,1,50,68.79145812988281,170473.796875,0.30145084857940674
9,8,1,120,68.68806457519531,170207.078125,0.31930863857269287
9,9,1,204,68.66547393798828,170086.71875,0.38581812381744385
10,0,1,10,68.73262023925781,170341.765625,0.28188425302505493
10,1,1,34,68.72162628173828,170303.5,0.29075995087623596
10,12,1,108,68.6981201171875,170230.046875,0.27587395906448364
10,13,1,149,68.67520904541016,170172.5625,0.333862841129303
10,14,1,8,68.7364730834961,170350.234375,0.26594987511634827
10,15,1,154,68.61337280273438,169993.921875,0.26761966943740845
10,2,1,152,68.65641021728516,170141.0,0.28246167302131653
10,3,1,55,68.72916412353516,170313.5,0.30270272493362427
10,4,1,117,68.67170715332031,170149.171875,0.28563979268074036
10,5,1,121,68.6391372680664,170097.703125,0.2900213599205017
10,8,1,120,68.63584899902344,170061.609375,0.33635008335113525
10,9,1,204,68.61038208007812,169937.71875,0.37455520033836365
11,0,1,10,68.6601333618164,170146.671875,0.28487899899482727
11,10,1,144,68.5183334350586,169768.0625,0.2855166792869568
11,11,1,40,68.65677642822266,170129.859375,0.2943517565727234
11,14,1,8,68.65599060058594,170138.09375,0.2909850776195526
11,15,1,154,68.57835388183594,169901.65625,0.2949914336204529
11,2,1,152,68.58354187011719,169944.765625,0.2813592553138733
11,3,1,55,68.64323425292969,170080.234375,0.3031729459762573
11,4,1,117,68.60408782958984,169965.609375,0.2786579430103302
11,5,1,121,68.56719970703125,169903.875,0.29327327013015747
11,6,1,50,68.66266632080078,170116.84375,0.32835260033607483
11,7,1,103,68.56287384033203,169877.1875,0.28887632489204407
11,8,1,120,68.55863952636719,169857.90625,0.3370031416416168
12,0,1,10,68.58795928955078,169957.140625,0.294453889131546
12,1,1,34,68.57735443115234,169924.828125,0.31407085061073303
12,12,1,108,68.52762603759766,169770.46875,0.2720910608768463
12,13,1,149,68.44795227050781,169563.5625,0.34491991996765137
12,14,1,8,68.58917999267578,169958.984375,0.292840838432312
12,3,1,55,68.57433319091797,169894.421875,0.30651795864105225
12,4,1,117,68.52926635742188,169767.71875,0.27955207228660583
12,5,1,121,68.45752716064453,169617.1875,0.3053646385669708
12,6,1,50,68.58885955810547,169921.546875,0.33343204855918884
12,7,1,103,68.49459075927734,169693.0,0.2981705963611603
12,8,1,120,68.54196166992188,169821.75,0.32710498571395874
12,9,1,204,68.46320343017578,169549.84375,0.3860577940940857
13,0,1,10,68.51982879638672,169773.5625,0.31307125091552734
13,11,1,40,68.511474609375,169735.171875,0.3223346471786499
13,12,1,108,68.43938446044922,169523.875,0.28207600116729736
13,13,1,149,68.42085266113281,169490.765625,0.34864434599876404
13,14,1,8,68.51793670654297,169769.953125,0.30864638090133667
13,15,1,154,68.4669189453125,169611.140625,0.3127592206001282
13,2,1,152,68.40475463867188,169466.0,0.30112239718437195
13,3,1,55,68.51217651367188,169722.359375,0.31217649579048157
13,4,1,117,68.44934844970703,169533.21875,0.2961488366127014
13,5,1,121,68.39035034179688,169435.21875,0.32378411293029785
13,6,1,50,68.52133178710938,169738.078125,0.3460918068885803
13,9,1,204,68.46892547607422,169590.84375,0.3804914653301239
14,0,1,10,68.45304870605469,169588.015625,0.3246671259403229
14,10,1,144,68.35233306884766,169316.828125,0.3140903115272522
14,11,1,40,68.4412612915039,169538.09375,0.3225298821926117
14,12,1,108,68.40065002441406,169420.375,0.29272496700286865
14,13,1,149,68.3890151977539,169407.125,0.34131377935409546
14,14,1,8,68.45150756835938,169588.390625,0.3164931833744049
14,15,1,154,68.33941650390625,169248.25,0.333035409450531
14,3,1,55,68.43518829345703,169506.765625,0.31975674629211426
14,4,1,117,68.37946319580078,169345.671875,0.2979040741920471
14,5,1,121,68.3271484375,169259.09375,0.3291255831718445
14,7,1,103,68.36481475830078,169338.640625,0.3193223178386688
14,8,1,120,68.4112548828125,169463.265625,0.3533805012702942
15,0,1,10,68.38079833984375,169393.578125,0.330518513917923
15,10,1,144,68.24557495117188,169027.53125,0.32162824273109436
15,11,1,40,68.37002563476562,169353.046875,0.32428082823753357
15,14,1,8,68.37701416015625,169385.09375,0.32670268416404724
15,15,1,154,68.32936096191406,169235.421875,0.3409011960029602
15,2,1,152,68.22765350341797,168984.5625,0.3214397132396698
15,3,1,55,68.36566925048828,169313.859375,0.32379150390625
15,4,1,117,68.31607055664062,169163.25,0.31206485629081726
15,5,1,121,68.3189697265625,169233.140625,0.32473066449165344
15,6,1,50,68.3808822631836,169357.109375,0.3564508259296417
15,7,1,103,68.33736419677734,169270.71875,0.3142375349998474
15,9,1,204,68.29100799560547,169092.296875,0.4184582829475403
16,0,1,10,68.30989837646484,169198.890625,0.3384784758090973
16,10,1,144,68.20870208740234,168925.15625,0.33302849531173706
16,11,1,40,68.3021469116211,169173.09375,0.3300207853317261
16,12,1,108,68.27277374267578,169084.140625,0.32440030574798584
16,13,1,149,68.16624450683594,168801.96875,0.3631778359413147
16,14,1,8,68.30337524414062,169188.890625,0.33594846725463867
16,15,1,154,68.25737762451172,169037.875,0.33546653389930725
16,2,1,152,68.15635681152344,168790.53125,0.3349814713001251
16,4,1,117,68.28924560546875,169110.203125,0.2986932098865509
16,6,1,50,68.3136978149414,169193.359375,0.35476016998291016
16,8,1,120,68.2365493774414,168988.03125,0.3634723126888275
16,9,1,204,68.18794250488281,168790.53125,0.4231635630130768
17,0,1,10,68.24323272705078,169014.703125,0.3435991704463959
17,1,1,34,68.22274017333984,168953.65625,0.360946387052536
17,10,1,144,68.18001556396484,168845.9375,0.34555044770240784
17,11,1,40,68.23532104492188,168990.6875,0.3316885828971863
17,13,1,149,68.1745376586914,168825.140625,0.3599375784397125
17,14,1,8,68.24043273925781,169014.390625,0.3378716707229614
17,15,1,154,68.18872833251953,168853.296875,0.3464626967906952
17,2,1,152,68.09326934814453,168614.734375,0.3512493073940277
17,6,1,50,68.2452392578125,169005.1875,0.36494016647338867
17,7,1,103,68.18087768554688,168835.734375,0.33682870864868164
17,8,1,120,68.14876556396484,168739.640625,0.37814953923225403
17,9,1,204,68.15402221679688,168716.265625,0.41637423634529114
18,1,1,34,68.1581802368164,168779.734375,0.36523696780204773
18,10,1,144,68.11648559570312,168673.34375,0.3526610732078552
18,12,1,108,68.1484146118164,168739.0,0.34705960750579834
18,13,1,149,68.11701965332031,168664.3125,0.3603208065032959
18,14,1,8,68.17840576171875,168845.25,0.347933828830719
18,15,1,154,68.13118743896484,168690.640625,0.3508496880531311
18,2,1,152,68.10857391357422,168652.953125,0.3524114191532135
18,3,1,55,68.16785430908203,168771.828125,0.3547479510307312
18,4,1,117,68.14982604980469,168737.296875,0.326106458902359
18,6,1,50,68.18505096435547,168827.84375,0.38639065623283386
18,7,1,103,68.09524536132812,168597.703125,0.35811370611190796
18,9,1,204,68.12401580810547,168651.8125,0.3996310532093048
19,0,1,10,68.11775207519531,168671.28125,0.3605009913444519
19,1,1,34,68.11246490478516,168654.421875,0.37472933530807495
19,11,1,40,68.11217498779297,168651.625,0.3526667654514313
19,12,1,108,68.08879852294922,168572.5625,0.3415333032608032
19,14,1,8,68.11491394042969,168670.0625,0.35141804814338684
19,15,1,154,68.0628662109375,168507.296875,0.35830822587013245
19,2,1,152,67.97289276123047,168280.515625,0.3575115501880646
19,3,1,55,68.11271667480469,168640.96875,0.34800076484680176
19,4,1,117,68.08802032470703,168567.453125,0.3266686797142029
19,5,1,121,68.02375030517578,168427.09375,0.3614404797554016
19,6,1,50,68.13050079345703,168658.859375,0.3837340772151947
19,9,1,204,68.06294250488281,168484.046875,0.415007084608078
20,1,1,34,68.05464172363281,168484.03125,0.3841140866279602
20,10,1,144,68.00719451904297,168365.53125,0.35945093631744385
20,12,1,108,68.03858947753906,168432.40625,0.35301634669303894
20,14,1,8,68.06767272949219,168536.703125,0.35872915387153625
20,15,1,154,67.952880859375,168191.734375,0.37365683913230896
20,3,1,55,68.06370544433594,168504.328125,0.3558419346809387
20,4,1,117,68.02984619140625,168381.65625,0.3381199240684509
20,5,1,121,67.93865203857422,168198.53125,0.36336883902549744
20,6,1,50,68.07933044433594,168530.09375,0.38538500666618347
20,7,1,103,68.0280532836914,168418.875,0.3501095175743103
20,8,1,120,68.02510070800781,168408.015625,0.3760230541229248
20,9,1,204,67.95604705810547,168147.765625,0.44310253858566284
21,0,1,10,68.00825500488281,168363.796875,0.36241936683654785
21,1,1,34,67.99679565429688,168335.78125,0.3776184022426605
21,11,1,40,68.0010986328125,168340.5625,0.365208238363266
21,12,1,108,67.97506713867188,168257.828125,0.3514881134033203
21,13,1,149,67.9317855834961,168160.265625,0.38129714131355286
21,15,1,154,67.89078521728516,168016.0,0.37573471665382385
21,2,1,152,67.9339370727539,168168.921875,0.37060433626174927
21,3,1,55,68.00520324707031,168321.6875,0.368801474571228
21,4,1,117,67.93912506103516,168126.65625,0.329827219247818
21,6,1,50,68.01512908935547,168363.546875,0.3840397894382477
21,8,1,120,67.91268920898438,168085.953125,0.4010537564754486
